SCENE_ID,START_TIME,END_TIME,DURATION,NARRATION,VISUAL_TYPE,VISUAL_DESCRIPTION,CAMERA,LENS_PERSPECTIVE,MOVEMENT,LIGHTING,COMPOSITION,ON_SCREEN_TEXT,SOURCE,ASSET_STATUS,TRANSITION,SOUND,PURPOSE,AS_BUILT_SHOTS,AS_BUILT_SOUND,CAMERA_METADATA_STATUS,VISUAL_ARGUMENT_LINK
S001,00:00:00.000,00:00:01.400,1.400000,Người bệnh chạm “Đặt lịch”.,V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Đưa người xem vào một tình huống cụ thể trước khi giới thiệu lý thuyết. Asset: S002_phone_tap_1080p_v2.mp4.,Low tracking chuyển medium rear three-quarter,"35 mm, eye-level hạ nhẹ",Dolly theo sau rồi dừng,"Nắng nhiệt đới khuếch tán, phản sáng ấm trên da","Mai ở 1/3 phải, hành lang dẫn mắt về quầy tiếp nhận",TÌNH HUỐNG GIẢ ĐỊNH — NHÓM 14,assets/flow_selected/S002_phone_tap_1080p_v2.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Ambience bệnh viện nhỏ; một nhịp pulse trầm; không thoại hiện trường,Đưa người xem vào một tình huống cụ thể trước khi giới thiệu lý thuyết.,V11 plan: assets/flow_selected/S002_phone_tap_1080p_v2.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; footstep @ 0.550s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Đưa người xem vào một tình huống cụ thể trước khi giới thiệu lý thuyết.
S002,00:00:01.400,00:00:04.400,3.000000,"Một giây sau, màn hình trả về một khung giờ.",V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Biến hành động quen thuộc thành cánh cửa dẫn vào quyết định vô hình. Asset: S002_phone_tap_alt_1080p.mp4.,Macro insert,"100 mm macro, góc 35 độ",Push nhẹ pushdolly 3 cm,"Key mềm từ cửa sổ, màn hình không cháy sáng","Điện thoại chiếm 60% khung, tay tự nhiên đủ năm ngón",Đặt lịch · 09:30,assets/flow_v8_namthanguit/S002_phone_tap_alt_1080p.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Tap foley; pulse sáng; ambience duck nhẹ,Biến hành động quen thuộc thành cánh cửa dẫn vào quyết định vô hình.,V11 plan: assets/flow_v8_namthanguit/S002_phone_tap_alt_1080p.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; click @ 1.500s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Biến hành động quen thuộc thành cánh cửa dẫn vào quyết định vô hình.
S003,00:00:04.400,00:00:10.933,6.533333,"Thao tác rất đơn giản. Nhưng trước đó, ai đã chọn dữ liệu, tiêu chí ưu tiên, ngoại lệ và quyền xem xét lại?",V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Hiện hình ẩn dụ hộp đen và ba lớp quyết định. Asset: MG01_open_black_box.mp4.,Hero macro-to-wide,50 mm chuyển 35 mm giả lập bằng dolly,Slow pull-back đồng thời vỏ mở cơ học,"Rim amber, fill xanh rất nhẹ, volumetric haze tối thiểu","Khối hộp trung tâm lệch thấp, vùng âm cho chữ",DỮ LIỆU · TIÊU CHÍ · NGOẠI LỆ,assets/v11_graphics/MG01_open_black_box.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Sub-bass mềm; servo cơ khí tinh tế; không sci-fi zaps,Hiện hình ẩn dụ hộp đen và ba lớp quyết định.,V11 plan: assets/v11_graphics/MG01_open_black_box.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; servo @ 4.500s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Hiện hình ẩn dụ hộp đen và ba lớp quyết định.
S004,00:00:10.933,00:00:17.533,6.600000,"Nút bấm trông như một công cụ trung tính. Mở hộp đen thiết kế, ta thấy giá trị, lợi ích và quyền lực.",V11 · MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Nêu trực quan vấn đề quyền tham gia, không chỉ quyền dùng. Asset: S034_multiple_options_1080p.mp4.",Overhead conceptual stage,35 mm orthographic-like,Arc 20 độ chậm,"Nền obsidian, amber/teal kiểm soát","Tam giác Mai–studio–hộp đen, không mạng lưới trang trí",GIÁ TRỊ · LỢI ÍCH · QUYỀN LỰC,assets/flow_v8_odoo/S034_multiple_options_1080p.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Low pulse + airy reverse ngắn,"Nêu trực quan vấn đề quyền tham gia, không chỉ quyền dùng.",V11 plan: assets/flow_v8_odoo/S034_multiple_options_1080p.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; servo @ 11.033s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử","Nêu trực quan vấn đề quyền tham gia, không chỉ quyền dùng."
S005,00:00:17.533,00:00:41.100,23.566667,"Kính chào thầy và các bạn. Chúng em là Nhóm 14, với chủ đề “Dân chủ hóa thiết kế và quản trị công nghệ theo Andrew Feenberg”. Câu hỏi trung tâm: Công nghệ có thực sự trung lập, hay những giá trị, lợi ích và quan hệ quyền lực có thể được đưa vào ngay trong quá trình thiết kế và quản trị công nghệ?",V11 · FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Hoàn thành lời chào và giới thiệu mà vẫn giữ hook điện ảnh. Asset: V9_004.mp4, mixkit_4547_1080.mp4, S063_flow_1080p.mp4, mixkit_914_1080.mp4, mixkit_4169_1080.mp4, mixkit_918_1080.mp4.",Locked hero,"50dolly 50 mm, eye-level",Slow push-in 4%,"Key hẹp, rim amber, bề mặt đen có texture thật","Khối ở 1/3 trái, title tối đa ba dòng bên phải",NHÓM 14 | DÂN CHỦ HÓA THIẾT KẾ VÀ QUẢN TRỊ CÔNG NGHỆ THEO ANDREW FEENBERG | CÔNG NGHỆ CÓ THỰC SỰ TRUNG LẬP?,assets/flow_v9_raw/V9_004.mp4 | assets/v11_real/mixkit/mixkit_4547_1080.mp4 | assets/flow_selected/S063_flow_1080p.mp4 | assets/v11_real/mixkit/mixkit_914_1080.mp4 | assets/v11_real/mixkit/mixkit_4169_1080.mp4 | assets/v11_real/mixkit/mixkit_918_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Main theme vào rất nhỏ; hit ấm ở title; voice ưu tiên; nhịp thở hình/nhạc 3.5s, không kéo chậm giọng",Hoàn thành lời chào và giới thiệu mà vẫn giữ hook điện ảnh.,V11 plan: assets/flow_v9_raw/V9_004.mp4 | assets/v11_real/mixkit/mixkit_4547_1080.mp4 | assets/flow_selected/S063_flow_1080p.mp4 | assets/v11_real/mixkit/mixkit_914_1080.mp4 | assets/v11_real/mixkit/mixkit_4169_1080.mp4 | assets/v11_real/mixkit/mixkit_918_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Hoàn thành lời chào và giới thiệu mà vẫn giữ hook điện ảnh.
S006,00:00:41.100,00:00:47.567,6.466667,"Tình huống vừa rồi là minh họa giả định của Nhóm 14, không phải trường hợp Feenberg nghiên cứu.",V11 · ĐỒ HỌA GIẢI THÍCH + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Đóng dấu ranh giới bằng chứng ngay sau cold open. Asset: V9_006.mp4, MG27_hypothetical_boundary.mp4.",Observational medium,"50 mm, shoulder height",Locked với parallax người đi ngang,"Daylight dịu, da tự nhiên","Mai ở trung tâm thấp, hậu cảnh hoạt động vừa phải",MINH HỌA GIẢ ĐỊNH · KHÔNG PHẢI CASE CỦA FEENBERG,assets/flow_v9_raw/V9_006.mp4 | assets/v11_graphics/MG27_hypothetical_boundary.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Room tone; giày cao su; theme giảm 3 dB,Đóng dấu ranh giới bằng chứng ngay sau cold open.,V11 plan: assets/flow_v9_raw/V9_006.mp4 | assets/v11_graphics/MG27_hypothetical_boundary.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Đóng dấu ranh giới bằng chứng ngay sau cold open.
S007,00:00:47.567,00:00:50.034,2.466667,Nó giúp phân biệt ba tầng. Thứ nhất là sử dụng:,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Tách ba cấp phân tích bằng không gian vật lý thay vì icon. Asset: MG02_three_layers.mp4.,Tabletop product-documentary,"50 mm, shallow vừa",Lateral slider qua ba lớp,"Softbox như cửa sổ, edge light amber",Ba lớp có chiều sâu; chữ compositing cố định trên mặt kính,SỬ DỤNG → THIẾT KẾ → QUẢN TRỊ,assets/v11_graphics/MG02_three_layers.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Ba click cơ học khác cao độ; ambience giữ,Tách ba cấp phân tích bằng không gian vật lý thay vì icon.,V11 plan: assets/v11_graphics/MG02_three_layers.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Tách ba cấp phân tích bằng không gian vật lý thay vì icon.
S008,00:00:50.033,00:00:53.600,3.566667,người bệnh chọn trong những phương án đã có. Thứ hai là thiết kế:,V11 · FOOTAGE QUAY THẬT,Chuỗi hình V11 khớp trực tiếp luận điểm: Cho thấy lựa chọn của người dùng diễn ra bên trong khung đã đặt. Asset: mixkit_41165_1080.mp4.,Over-shoulder insert,"85 mm, focus tay/màn hình",Micro push-in,"Ánh màn hình trung tính, fill ấm từ hành lang","Màn hình 1/3 trái, gương mặt phản chiếu mờ ở phải",TẦNG 1 · SỬ DỤNG,assets/v11_real/mixkit/mixkit_41165_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Soft UI ticks hậu kỳ; không âm thanh AI,Cho thấy lựa chọn của người dùng diễn ra bên trong khung đã đặt.,V11 plan: assets/v11_real/mixkit/mixkit_41165_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; click @ 46.633s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Cho thấy lựa chọn của người dùng diễn ra bên trong khung đã đặt.
S009,00:00:53.600,00:00:59.633,6.033333,"một nhóm quyết định dữ liệu, cách xếp hạng và các lựa chọn được cung cấp. Thứ ba là quản trị:",V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Hiện quyền đặt cấu trúc trước khi người dùng chạm màn hình. Asset: S009_flow_1080p.mp4.,Wide-to-medium observational,"35 mm, eye-level",Slow lateral track,"Window key trái, tungsten practical phải",Bàn là đường chéo; ghế trống tiền cảnh,TẦNG 2 · THIẾT KẾ | DỮ LIỆU · XẾP HẠNG · LỰA CHỌN,assets/flow_selected/S009_flow_1080p.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Paper foley; bút; low pulse,Hiện quyền đặt cấu trúc trước khi người dùng chạm màn hình.,V11 plan: assets/flow_selected/S009_flow_1080p.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Hiện quyền đặt cấu trúc trước khi người dùng chạm màn hình.
S010,00:00:59.633,00:01:08.000,8.366667,"ai đặt quy tắc, kiểm tra hậu quả, nhận khiếu nại và sửa hệ thống? Ba tầng liên quan nhưng không đồng nghĩa.",V11 · FOOTAGE QUAY THẬT,"Chuỗi hình V11 khớp trực tiếp luận điểm: Biến quản trị thành vòng đời có trách nhiệm, không phải vận hành thiết bị. Asset: mixkit_42666_1080.mp4, mixkit_42656_1080.mp4, mixkit_914_1080.mp4.",Overhead rồi insert,50 mm top-down,Controlled tilt xuống tay ký,"Ánh sáng nghiêm, vẫn tự nhiên; không corporate blue",Vòng đời hình tròn; bàn tay ở bốn hướng,TẦNG 3 · QUẢN TRỊ | QUY TẮC · GIÁM SÁT · KHÁNG NGHỊ · SỬA ĐỔI,assets/v11_real/mixkit/mixkit_42666_1080.mp4 | assets/v11_real/mixkit/mixkit_42656_1080.mp4 | assets/v11_real/mixkit/mixkit_914_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Paper slide; stamp trầm nhưng không kịch hóa,"Biến quản trị thành vòng đời có trách nhiệm, không phải vận hành thiết bị.",V11 plan: assets/v11_real/mixkit/mixkit_42666_1080.mp4 | assets/v11_real/mixkit/mixkit_42656_1080.mp4 | assets/v11_real/mixkit/mixkit_914_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử","Biến quản trị thành vòng đời có trách nhiệm, không phải vận hành thiết bị."
